1,Carrasco Lawn Tennis Club,A,Unnamed: 0,"1:50,40 18"
,"1) Chiancone, Federico M29","2) Wansart, Erik M26","3) Diaz, Lucia W19","4) Rovella, María Paz W25"
2.0,Club Social y Deportivo Delfin,A,,"1:50,55 14"
,"1) Rostan, Gaston M29","2) Rossotti, Lucia W21","3) Mott, Priscila W27","4) Ferreira, Francisco M21"
3.0,Centro Sportivo Laureles,A,,"1:52,92 12"
,"1) Gonzalez, Lucia W27","2) Quincke, Tomas M21","3) Kulik, Guadalupe W20","4) Pessi, Lucas M19"
4.0,Nadadores DE Young,A,,"1:56,36 10"
,"1) Ritez, Mateo M22","2) Vila, Isabel W19","3) Salvatierra, Magdalena W20","4) Castroman, Nicolas M20"
5.0,Club Nacional Nueva Helvecia,A,,"1:56,55 8"
,"1) Rodriguez, Santiago M22","2) Lepratti, Manuela W19","3) Lopez, Selena W19","4) Urtazu, Agustín M25"
6.0,Club Atletico Esparta,A,,"2:11,88 6"
