"8 Ferreyra, Franco",24,Club Social y Deportivo Delfin,Unnamed: 0,"2:18,90",2
"9 Pessi, Lucas",19.0,Centro Sportivo Laureles,,"2:20,17",1
"10 Fanetti, Ignacio",20.0,Club Social y Deportivo Delfin,,"x2:20,26",
"11 Castroman, Nicolas",20.0,Nadadores DE Young,,"2:20,34",
"12 Bordoli, Manuel",21.0,Centro Sportivo Laureles,,"x2:21,55",
"13 Batiste, Fabrizio",23.0,Club Atletico Esparta,,"2:23,50",
"14 Estigarriba, Martin",35.0,Nadadores DE Young,,"2:24,88",
"15 Pelaez, Cirilo",19.0,Club Nacional Nueva Helvecia,,"2:52,16",
,,,,,
Evento 29  Mujeres 16-18 4x100 CC Metro Combinado Relevo,,,,,
Equipo,,Relevo,,Tiempo de Finales,Puntos
1 Club Nacional Nueva Helvecia,,A,,"5:23,27",18
