1 Carrasco Lawn Tennis Club,A,Unnamed: 0,Unnamed: 1,"2:13,50 18"
"1) Cuadra, Sebastian M18","2) Vidiella, Felicia W17",,"3) Seigal, Pedro M18","4) Vidiella, Federica W17"
2 Club Nacional Nueva Helvecia,A,,,"2:15,13 14"
"1) Sonderegger, Saskia W17","2) Silvera, Emiliano M17",,"3) Silvera, Valentina W18","4) Demaria, Aaron M17"
3 Centro Sportivo Laureles,A,,,"2:17,22 12"
"1) Keiran, Julieta W17","2) Bordoli, Felipe M18",,"3) Quincke, Bautista M18","4) Keiran, Pia W18"
4 Club Social y Deportivo Delfin,A,,,"2:21,67 10"
"1) Puyol, Caio M18","2) Buscio, Agustino M17",,"3) Barrientos, Catalina W18","4) Flores, Chiara W17"
5 Club Atletico Esparta,A,,,"2:32,09 8"
"1) Garcia, Rodrigo M17","2) Sonderegger, Anika W17",,"3) Stemphet, Iann Paul M17","4) Centurion, Matilde W18"
--- Piscinas Barriales DE Salto,A,,,DQ
"1) Gallino, Camila W17","2) De Los Santos, Delfina W17",,"3) Cavalheiro, Federico M17","4) Silveira, Valentin M17"
,,,,
Evento 101  Niñas 10 Años de Edad 4x25 CC Metro Combinado Relevo,,,,
Equipo,Relevo,,Tiempo de Finales,Puntos
--- Club Nacional Nueva Helvecia,A,,,"X1:22,64"
"1) Gabriel, Ma Ines 10","2) Lemes, Matilda 10",,"3) Irigoyen, Ema 10","4) Urrutia, Francesca 10"
--- Carrasco Lawn Tennis Club,A,,,"X1:31,13"
"1) Baldomir, Mora 10","2) Cubas, Catalina 10",,"3) Ameglio, Guadalupe 10","4) Chiesa, Franchesca 10"
--- Club Social y Deportivo Delfin,A,,,"X1:50,66"
"1) Moreira, Luana 10","2) Zapata, Renata 10",,"3) Castillo, Yuliana 10","4) Damasco, Bianca 10"
,,,,
Evento 101  Niñas 11 Años de Edad 4x25 CC Metro Combinado Relevo,,,,
Equipo,Relevo,,Tiempo de Finales,Puntos
1 Club Nacional Nueva Helvecia,A,,,"1:19,57 18"
"1) Arrambide, Matilda 11","2) Diaz, Selene 11",,"3) Viera, Nataly 11","4) Hernandez, Juliana 11"
2 Club Social y Deportivo Delfin,A,,,"1:26,24 14"
"1) Pacaluk, Josefina 11","2) Trigo, Julia 11",,"3) Pacaluk, Camila 11","4) Lopez, Bianca 11"
3 Carrasco Lawn Tennis Club,A,,,"1:33,15 12"
"1) Seigal, Helena 11","2) Fleurquin, María 11",,"3) Novak, Gabriela 11","4) Sonneveld, Sofía 11"
--- Centro Sportivo Laureles,A,,,DQ
"1) Frascheri, Lara 11","2) Delgrosso, Isabella 11",,"3) De Giovi, Sabrina 11","4) Dias, Francesca 11"
,,,,
Evento 102  Niños 10 Años de Edad 4x25 CC Metro Combinado Relevo,,,,
Equipo,Relevo,,Tiempo de Finales,Puntos
--- Club Social y Deportivo Delfin,A,,,"X1:24,52"
"1) Sobrino, Lorenzo 10","2) Barrett, Joaquin 10",,"3) Picart, Emiliano 10","4) Imken, Vicente 10"
--- Carrasco Lawn Tennis Club,A,,,"X1:27,55"
"1) Kaplan, Lucas 10","2) Frick, Cipriano 10",,"3) Sanchez Varela, Antonio 10","4) Storace, Juan 10"
--- Centro Sportivo Laureles,A,,,"X1:41,79"
"1) Ferrer, Francisco 10","2) Sagari, Mateo 10",,"3) Masalles, Jacinto 10","4) Dati, Benicio 10"
,,,,
Evento 102  Niños 11 Años de Edad 4x25 CC Metro Combinado Relevo,,,,
Equipo,Relevo,,Tiempo de Finales,Puntos
1 Club Social y Deportivo Delfin,A,,,"1:21,70 18"
"1) Nunez, Tomas 11","2) Cruz, Diego 11",,"3) Cairus, Valentino 11","4) Rodriguez, Thiago 11"
2 Club Nacional Nueva Helvecia,A,,,"1:21,71 14"
"1) Martinelli, Piero 11","2) Martinez, Felipe 11",,"3) Bertinat, Guillermo 11","4) Schmidt, Bruce 11"
3 Carrasco Lawn Tennis Club,A,,,"1:26,92 12"
"1) Terra, Francisco 11","2) Canuti, Agustin 11",,"3) Licio, Faustino 11","4) Vendito, Ignacio 11"
4 Centro Sportivo Laureles,A,,,"1:34,25 10"
"1) Faber, Francisco 11","2) Mantinian, Timoteo 11",,"3) Alvarez, Federico 11","4) Castelli, Camilo 11"
--- Club Atletico Esparta,A,,,"X1:31,70"
