1,Carrasco Lawn Tennis Club,A,Unnamed: 0,"4:17,25",18
,"1) Chiancone, Federico 29","2) Chiancone, Nicolas 31","3) Uria, Juan 32","4) Wansart, Erik 26",
2.0,Club Nacional Nueva Helvecia,A,,"4:25,24",14.0
,"1) Rodriguez, Santiago 22","2) Iglesias, Darwin 30","3) Font, Emanuel 20","4) Urtazu, Agustín 25",
3.0,Club Social y Deportivo Delfin,A,,"4:28,50",12.0
,"1) Rostan, Gaston 29","2) Fanetti, Ignacio 20","3) Ferreira, Francisco 21","4) Puyol, Caio 18",
4.0,Club Atletico Esparta,A,,"4:43,35",10.0
,"1) Bizoza, Joaquin 25","2) Batiste, Fabrizio 23","3) Batiste, Nestor 29","4) Morales, Tomas 16",
5.0,Centro Sportivo Laureles,A,,"4:48,44",8.0
,"1) Quincke, Bautista 18","2) Acosta, Caio 32","3) Quincke, Tomas 21","4) Pessi, Lucas 19",
6.0,Nadadores DE Young,A,,"4:51,42",6.0
