1 Club Nacional Nueva Helvecia,A,Unnamed: 0,"1:16,36",18
2 Club Social y Deportivo Delfin,A,,"1:20,69",14
3 Carrasco Lawn Tennis Club,A,,"1:20,77",12
4 Centro Sportivo Laureles,A,,"1:22,79",10
5 Club Atletico Esparta,A,,"1:40,35",8
--- Club Nacional Nueva Helvecia,B,,"X1:24,39",
--- Carrasco Lawn Tennis Club,B,,"X1:25,50",
--- Club Social y Deportivo Delfin,B,,"X1:29,90",
--- Centro Sportivo Laureles,B,,"X1:35,47",
--- Nadadores DE Young,B,,"X1:41,38",
,,,,
Evento 86  Mujeres 14-15 100 CC Metro Estilo Libre,,,,
Nombre,Edad Equipo,,Tiempo de Finales,Puntos
"1 Ruggiero, Giuliana",15 Carrasco Lawn Tennis Club,,"1:07,71",9
"2 Gonzalez, Sol",15 Centro Sportivo Laureles,,"1:08,51",7
"3 Ashby, Julieta",14 Centro Sportivo Laureles,,"1:09,37",6
"4 Bertinat, Fiorella",14 Club Nacional Nueva Helvecia,,"1:11,59",5
"5 Espindola, Aldana",15 Club Social y Deportivo Delfin,,"1:12,11",4
"6 Mannise, Catalina",14 Nadadores DE Young,,"1:13,19",3
"7 Martens, Eloisa",14 Club Nacional Nueva Helvecia,,"1:14,49",2
"8 Buscio, Emilia",14 Club Social y Deportivo Delfin,,"1:15,17",1
"9 Gomensoro, Malena",15 Carrasco Lawn Tennis Club,,"1:15,21",
"10 Borsani, Bianca",15 Centro Sportivo Laureles,,"x1:17,21",
"11 Acuna, Federica",14 Carrasco Lawn Tennis Club,,"x1:19,07",
"12 Machado, Eva",15 Piscinas Barriales DE Salto,,"1:19,10",
"13 Rodriguez, Luana",14 Club Atletico Esparta,,"1:19,55",
"14 Vazquez, Pierina",14 Club Social y Deportivo Delfin,,"x1:20,04",
"15 Oyola, Constanza",14 Club Nacional Nueva Helvecia,,"x1:26,39",
"16 Sosa, Candela",14 Piscinas Barriales DE Salto,,"1:26,84",
"17 Negrin, Martina",14 Club Atletico Esparta,,"1:31,24",
"18 Casavalle, Nathali",14 Piscinas Barriales DE Salto,,"x1:39,50",
"19 Furtado, Camila",14 Nadadores DE Young,,"1:45,10",
,,,,
Evento 87  Hombres 14-15 100 CC Metro Estilo Libre,,,,
Nombre,Edad Equipo,,Tiempo de Finales,Puntos
"1 Paez, Juan Pedro",15 Carrasco Lawn Tennis Club,,"59,48",9
"2 Coll, Sebastian",15 Centro Sportivo Laureles,,"59,99",7
"3 Martinez, Ignacio",14 Club Social y Deportivo Delfin,,"1:05,54",6
"4 Sonderegger, Paulino",15 Club Nacional Nueva Helvecia,,"1:06,08",5
"5 Cubas, Baltasar",14 Carrasco Lawn Tennis Club,,"1:06,10",4
"6 Voelker, Felipe",15 Centro Sportivo Laureles,,"1:06,58",3
"7 Demasi, Valentino",15 Club Social y Deportivo Delfin,,"1:07,08",2
"8 Gandulfo, Mateo",15 Centro Sportivo Laureles,,"x1:07,66",
"9 Sposito, Valentino",15 Carrasco Lawn Tennis Club,,"x1:08,11",
"10 Llovinsky, Juan",15 Piscinas Barriales DE Salto,,"1:08,18",1
"11 Salayeta, Santiago",15 Piscinas Barriales DE Salto,,"1:09,14",
"12 Biardo, Benjamin",15 Club Social y Deportivo Delfin,,"x1:09,68",
"13 Irigoyen, Tomas",14 Club Nacional Nueva Helvecia,,"1:10,37",
"14 Soto, Tiziano",14 Piscinas Barriales DE Salto,,"x1:11,48",
"15 García, Santiago",15 Club Atletico Esparta,,"1:14,75",
"16 Lepratti, Benjamin",14 Club Nacional Nueva Helvecia,,"x1:16,79",
