"1 Font, Valentina",16,Club Nacional Nueva Helvecia,Unnamed: 0,"1:18,35",9
"2 Estol, Lucia",16,Carrasco Lawn Tennis Club,,"1:19,17",7
"3 Sonderegger, Saskia",17,Club Nacional Nueva Helvecia,,"1:20,30",6
"4 Keiran, Pia",18,Centro Sportivo Laureles,,"1:22,64",5
"5 Vidiella, Federica",17,Carrasco Lawn Tennis Club,,"1:22,85",4
"6 Velazquez, Federica",18,Club Nacional Nueva Helvecia,,"x1:23,26",
"7 Keiran, Julieta",17,Centro Sportivo Laureles,,"1:24,98",3
"8 Flores, Chiara",17,Club Social y Deportivo Delfin,,"1:26,61",2
"9 Vidiella, Felicia",17,Carrasco Lawn Tennis Club,,"x1:26,77",
"10 Zecca, Natalia",16,Club Social y Deportivo Delfin,,"1:27,79",1
"11 Sonderegger, Anika",17,Club Atletico Esparta,,"1:32,06",
"12 Delfante, Ana",18,Centro Sportivo Laureles,,"x1:33,01",
"13 Bernardi, Alfonsina",16,Club Atletico Esparta,,"1:41,29",
,,,,,
Evento 18  Hombres 16-18 100 CC Metro Estilo de Espalda,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,Puntos
"1 Cuadra, Sebastian",18,Carrasco Lawn Tennis Club,,"1:03,32",9
"2 Puyol, Caio",18,Club Social y Deportivo Delfin,,"1:11,02",7
"3 Cavalheiro, Federico",17,Piscinas Barriales DE Salto,,"1:14,49",6
"4 Quincke, Bautista",18,Centro Sportivo Laureles,,"1:15,25",5
"5 Rostan, Matias",18,Club Social y Deportivo Delfin,,"1:16,02",4
"6 Vittori, Giuliano",16,Club Social y Deportivo Delfin,,"x1:18,94",
"7 Stemphet, Iann Paul",17,Club Atletico Esparta,,"1:21,60",3
"8 Martinez, Alan",18,Club Atletico Esparta,,"1:21,65",2
"9 Hartwich, Ian",16,Nadadores DE Young,,"1:24,04",1
"10 Garcia, Rodrigo",17,Club Atletico Esparta,,"x1:25,07",
