"13 Cufre, María Lucía",22,Club Nacional Nueva Helvecia,Unnamed: 0,"1:13,67",Unnamed: 1
"14 Lepratti, Manuela",19,Club Nacional Nueva Helvecia,,"x1:13,97",
,,,,,
Evento 59  Hombres 19 & Mayores 100 CC Metro Estilo Libre,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,Puntos
"1 Wansart, Erik",26,Carrasco Lawn Tennis Club,,"54,70",9
"2 Uria, Juan",32,Carrasco Lawn Tennis Club,,"55,06",7
"3 Ferreira, Francisco",21,Club Social y Deportivo Delfin,,"56,50",6
"4 Urtazu, Agustín",25,Club Nacional Nueva Helvecia,,"56,75",5
"5 Chiancone, Federico",29,Carrasco Lawn Tennis Club,,"x59,14",
"6 Rostan, Gaston",29,Club Social y Deportivo Delfin,,"1:00,05",4
"7 Castroman, Santiago",19,Nadadores DE Young,,"1:00,29",3
"8 Castroman, Nicolas",20,Nadadores DE Young,,"1:00,42",2
"9 Pessi, Lucas",19,Centro Sportivo Laureles,,"1:01,28",1
"10 Acosta, Caio",32,Centro Sportivo Laureles,,"1:01,30",
"11 Ferreyra, Franco",24,Club Social y Deportivo Delfin,,"x1:01,66",
"12 Bordoli, Manuel",21,Centro Sportivo Laureles,,"x1:01,70",
"13 Rodriguez, Santiago",22,Club Nacional Nueva Helvecia,,"1:01,89",
"14 Ritez, Mateo",22,Nadadores DE Young,,"x1:02,57",
"15 Iglesias, Darwin",30,Club Nacional Nueva Helvecia,,"x1:02,67",
"16 Cabrera, Miguel",24,Club Atletico Esparta,,"1:03,27",
"17 Peruchena, Nicolas",28,Piscinas Barriales DE Salto,,"1:08,44",
"18 Bizoza, Joaquin",25,Club Atletico Esparta,,"1:11,55",
,,,,,
Evento 60  Niñas 12 Años de Edad 50 CC Metro Estilo Libre,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,
"1 Yaquinta, Guadalupe",12,Carrasco Lawn Tennis Club,,"33,98",
"2 Dornel, Matilda",12,Club Social y Deportivo Delfin,,"34,02",
"3 Flores, Luana",12,Club Social y Deportivo Delfin,,"34,25",
"4 Dondo, Federica",12,Carrasco Lawn Tennis Club,,"x36,58",
"5 Sagari, Belen",12,Centro Sportivo Laureles,,"36,66",
"6 Bianchini, Anabela",12,Nadadores DE Young,,"37,08",
"7 Gerfauo, Aitana",12,Club Social y Deportivo Delfin,,"x37,60",
"8 DE Souza, Guadalupe",12,Centro Sportivo Laureles,,"37,88",
"9 Ferrer, Paulina",12,Centro Sportivo Laureles,,"x38,10",
"10 Vieito, Luzmila",12,Club Nacional Nueva Helvecia,,"38,65",
"11 Martens, Solange",12,Club Nacional Nueva Helvecia,,"x38,66",
"12 Aguilera, Agustina",12,Carrasco Lawn Tennis Club,,"x40,10",
"13 Ingold, Luisina",12,Club Nacional Nueva Helvecia,,"x40,95",
"14 Gonzalez, Josefina",12,Club Atletico Esparta,,"41,30",
"15 Gonzalez, Emilia",12,Nadadores DE Young,,"41,85",
"16 Caballero, Lara",12,Nadadores DE Young,,"x45,53",
,,,,,
Evento 60  Niñas 12-13 50 CC Metro Estilo Libre,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,Puntos
"1 Rodriguez, Candelaria",13,Carrasco Lawn Tennis Club,,"33,89",9
"2 Yaquinta, Guadalupe",12,Carrasco Lawn Tennis Club,,"33,98",7
"3 Dornel, Matilda",12,Club Social y Deportivo Delfin,,"34,02",6
"4 Flores, Luana",12,Club Social y Deportivo Delfin,,"34,25",5
"5 Novak, Elena",13,Carrasco Lawn Tennis Club,,"x34,31",
"6 Ithurralde, Josefina",13,Carrasco Lawn Tennis Club,,"x35,30",
"7 Salaberry, Ana Clara",13,Club Nacional Nueva Helvecia,,"35,75",4
