"6 Suarez, Emilia",13,Nadadores DE Young,Unnamed: 0,"1:19,58",4
"7 Taramasco, Barbara",13,Club Social y Deportivo Delfin,,"x1:21,94",
"8 Stemphet, Nahiara",13,Club Atletico Esparta,,"1:23,16",3.0
"9 Bianchini, Anabela",12,Nadadores DE Young,,"1:23,23",2.0
"10 Dondo, Federica",12,Carrasco Lawn Tennis Club,,"x1:23,27",
"11 Timote, Priscila",13,Centro Sportivo Laureles,,"1:23,77",1.0
"12 Demasi, Giulia",13,Club Social y Deportivo Delfin,,"x1:23,94",
"13 Salaberry, Ana Clara",13,Club Nacional Nueva Helvecia,,"1:24,16",
"14 Sagari, Belen",12,Centro Sportivo Laureles,,"1:24,96",
"15 DE Souza, Guadalupe",12,Centro Sportivo Laureles,,"x1:25,01",
"16 Ferrer, Paulina",12,Centro Sportivo Laureles,,"x1:25,25",
"17 Cerrudo, Sol",13,Club Nacional Nueva Helvecia,,"1:28,02",
"18 Vieito, Luzmila",12,Club Nacional Nueva Helvecia,,"x1:28,72",
"19 Aguilera, Agustina",12,Carrasco Lawn Tennis Club,,"x1:30,08",
"20 Martens, Solange",12,Club Nacional Nueva Helvecia,,"x1:32,24",
"21 Vespa, Olivia",13,Club Nacional Nueva Helvecia,,"x1:32,41",
"22 Latorre, Julieta",12,Club Social y Deportivo Delfin,,"x1:34,83",
"23 Gonzalez, Emilia",12,Nadadores DE Young,,"x1:42,55",
"24 Magallanes, Sophie",13,Club Social y Deportivo Delfin,,"x1:43,60",
"25 Caballero, Lara",12,Nadadores DE Young,,"x1:43,73",
"26 Acosta, Stefania",13,Piscinas Barriales DE Salto,,"1:58,26",
"--- Novak, Elena",13,Carrasco Lawn Tennis Club,,DQ,
,,,,,
Evento 96  Niñas 13 Años de Edad 100 CC Metro Estilo Libre,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,
"1 Rodriguez, Candelaria",13,Carrasco Lawn Tennis Club,,"1:17,65",
"2 Ithurralde, Josefina",13,Carrasco Lawn Tennis Club,,"x1:18,57",
"3 Suarez, Emilia",13,Nadadores DE Young,,"1:19,58",
"4 Taramasco, Barbara",13,Club Social y Deportivo Delfin,,"x1:21,94",
"5 Stemphet, Nahiara",13,Club Atletico Esparta,,"1:23,16",
"6 Timote, Priscila",13,Centro Sportivo Laureles,,"1:23,77",
"7 Demasi, Giulia",13,Club Social y Deportivo Delfin,,"x1:23,94",
"8 Salaberry, Ana Clara",13,Club Nacional Nueva Helvecia,,"1:24,16",
"9 Cerrudo, Sol",13,Club Nacional Nueva Helvecia,,"1:28,02",
"10 Vespa, Olivia",13,Club Nacional Nueva Helvecia,,"x1:32,41",
"11 Magallanes, Sophie",13,Club Social y Deportivo Delfin,,"x1:43,60",
"12 Acosta, Stefania",13,Piscinas Barriales DE Salto,,"1:58,26",
"--- Novak, Elena",13,Carrasco Lawn Tennis Club,,DQ,
,,,,,
Evento 97  Niños 12 Años de Edad 100 CC Metro Estilo Libre,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,
"1 Centurion, Maximo",12,Nadadores DE Young,,"1:09,39",
"2 Beron, Joaquin",12,Club Social y Deportivo Delfin,,"1:16,08",
"3 Alvarino, Ignacio",12,Club Nacional Nueva Helvecia,,"1:18,24",
"4 Malsenido, Maximiliano",12,Club Social y Deportivo Delfin,,"x1:18,42",
"5 Fuentes, Geronimo",12,Club Atletico Esparta,,"1:19,47",
"6 Terra, Matias",12,Carrasco Lawn Tennis Club,,"1:20,09",
"7 Rodriguez, Joaquin",12,Club Nacional Nueva Helvecia,,"1:22,04",
"8 Castellanos, Benjamin",12,Club Social y Deportivo Delfin,,"x1:25,51",
"9 Brun, Elias",12,Centro Sportivo Laureles,,"x1:27,56",
"10 Vera, Sebastian",12,Club Nacional Nueva Helvecia,,"x1:30,61",
"11 Centena, Sebastian",12,Centro Sportivo Laureles,,"x1:30,96",
