1 Carrasco Lawn Tennis Club,A,Unnamed: 0,Unnamed: 1,"2:19,39 18"
"1) Rodriguez, Candelaria 13","2) Novak, Elena 13",,"3) Ithurralde, Josefina 13","4) Yaquinta, Guadalupe 12"
2 Club Social y Deportivo Delfin,A,,,"2:20,34 14"
"1) Flores, Luana 12","2) Perez, Danna 13",,"3) Taramasco, Barbara 13","4) Dornel, Matilda 12"
3 Centro Sportivo Laureles,A,,,"2:26,62 12"
"1) Frascheri, Lara 11","2) DE Souza, Guadalupe 12",,"3) Timote, Priscila 13","4) Sagari, Belen 12"
4 Club Atletico Esparta,A,,,"2:26,63 10"
"1) Stemphet, Nahiara 13","2) Gilles, Antonella 13",,"3) Hoffman, Lara 11","4) Gonzalez, Josefina 12"
5 Club Nacional Nueva Helvecia,A,,,"2:30,31 8"
"1) Cerrudo, Sol 13","2) Vespa, Olivia 13",,"3) Vieito, Luzmila 12","4) Salaberry, Ana Clara 13"
6 Nadadores DE Young,A,,,"2:39,36 6"
"1) Bianchini, Anabela 12","2) Gonzalez, Emilia 12",,"3) Medina, Angela 13","4) Suarez, Emilia 13"
,,,,
Evento 33  Niños 12-13 4x50 CC Metro Estilo Libre Relevo,,,,
Equipo,Relevo,,Tiempo de Finales,Puntos
1 Centro Sportivo Laureles,A,,,"2:09,41 18"
"1) Lagos, Mateo 13","2) Faber, Joaquin 13",,"3) Brun, Elias 12","4) Menini, Benjamin 13"
2 Club Social y Deportivo Delfin,A,,,"2:17,14 14"
"1) Ferres, Justino 13","2) Castellanos, Benjamin 12",,"3) Malsenido, Maximiliano 12","4) Beron, Joaquin 12"
3 Carrasco Lawn Tennis Club,A,,,"2:24,47 12"
"1) Terra, Matias 12","2) Canuti, Tomas 13",,"3) Paez, Tomas 12","4) Grassi, Jeronimo 13"
4 Nadadores DE Young,A,,,"2:27,60 10"
"1) García, Joaquín 13","2) Stemphelet, Genaro 13",,"3) Crevoisier, Bruno 12","4) Centurion, Maximo 12"
5 Club Nacional Nueva Helvecia,A,,,"2:28,68 8"
"1) Rodriguez, Joaquin 12","2) Vera, Sebastian 12",,"3) Hernandez, Andres 12","4) Alvarino, Ignacio 12"
6 Club Atletico Esparta,A,,,"2:34,28 6"
"1) Sonderegger, Ian 12","2) Fuentes, Geronimo 12",,"3) Daruech, Stefano 12","4) Torres, Luciano 13"
7 Piscinas Barriales DE Salto,A,,,"2:39,53 4"
"1) Quiroz, Max 13","2) Heredia, Patic 12",,"3) Carballo, Nicolas 12","4) Filipini, Miguel 13"
,,,,
Evento 34  Mixto 10 Años de Edad 4x50 CC Metro Estilo Libre Relevo,,,,
Equipo,Relevo,,Tiempo de Finales,Puntos
--- Club Nacional Nueva Helvecia,A,,,"X2:46,58"
"1) Daghero, Genaro M10","2) Vera Fostel, Santiago M10",,"3) Lemes, Matilda W10","4) Urrutia, Francesca W10"
--- Carrasco Lawn Tennis Club,A,,,"X2:52,58"
"1) Kaplan, Lucas M10","2) Storace, Juan M10",,"3) Ameglio, Guadalupe W10","4) Cubas, Catalina W10"
--- Club Social y Deportivo Delfin,A,,,"X2:57,53"
"1) Sobrino, Lorenzo M10","2) Moreira, Luana W10",,"3) Damasco, Bianca W10","4) Barrett, Joaquin M10"
--- Centro Sportivo Laureles,A,,,"X3:01,91"
"1) Sagari, Mateo M10","2) Garbarino, Olivia W10",,"3) Masalles, Jacinto M10","4) Bosco, Ana Julia W10"
--- Nadadores DE Young,A,,,"X3:10,88"
"1) Centurion, Isabella W10","2) Solari, Benjamin M10",,"3) Bianchini, Giulianna W10","4) Pintos, Ignacio M10"
,,,,
Evento 34  Mixto 11 Años de Edad 4x50 CC Metro Estilo Libre Relevo,,,,
Equipo,Relevo,,Tiempo de Finales,Puntos
1 Club Nacional Nueva Helvecia,A,,,"2:29,54 18"
"1) Viera, Nataly W11","2) Arrambide, Matilda W11",,"3) Schmidt, Bruce M11","4) Bertinat, Guillermo M11"
2 Club Social y Deportivo Delfin,A,,,"2:32,06 14"
"1) Pacaluk, Josefina W11","2) Cruz, Diego M11",,"3) Trigo, Julia W11","4) Cairus, Valentino M11"
3 Centro Sportivo Laureles,A,,,"2:37,88 12"
"1) Faber, Francisco M11","2) De Giovi, Sabrina W11",,"3) Mantinian, Timoteo M11","4) Frascheri, Lara W11"
4 Carrasco Lawn Tennis Club,A,,,"2:45,58 10"
