"7 Vera, Sebastian",12,Club Nacional Nueva Helvecia,Unnamed: 0,"47,45",Unnamed: 1
"8 Sonderegger, Ian",12,Club Atletico Esparta,,"48,00",
"9 Rodriguez, Joaquin",12,Club Nacional Nueva Helvecia,,"x48,01",
"10 Gardiol, Antonio",12,Club Atletico Esparta,,"48,25",
"11 Soba, Agustin",12,Club Atletico Esparta,,"x49,23",
"12 Pereira, Anthony",12,Centro Sportivo Laureles,,"x49,88",
"13 Centena, Sebastian",12,Centro Sportivo Laureles,,"x55,54",
"--- Brun, Elias",12,Centro Sportivo Laureles,,DQ,
"--- Crevoisier, Bruno",12,Nadadores DE Young,,DQ,
,,,,,
Evento 40  Niños 12-13 50 CC Metro Estilo de Mariposa,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,Puntos
"1 Centurion, Maximo",12,Nadadores DE Young,,"33,25",9
"2 Menini, Benjamin",13,Centro Sportivo Laureles,,"34,21",7
"3 Ferres, Justino",13,Club Social y Deportivo Delfin,,"37,47",6
"4 Lagos, Mateo",13,Centro Sportivo Laureles,,"38,30",5
"5 Faber, Joaquin",13,Centro Sportivo Laureles,,"x38,50",
"6 Grassi, Jeronimo",13,Carrasco Lawn Tennis Club,,"38,54",4
"7 Castellanos, Benjamin",12,Club Social y Deportivo Delfin,,"39,33",3
"8 Beron, Joaquin",12,Club Social y Deportivo Delfin,,"x40,55",
"9 Terra, Matias",12,Carrasco Lawn Tennis Club,,"41,05",2
"10 Quiroz, Max",13,Piscinas Barriales DE Salto,,"41,69",1
"11 Castillo, Mauricio",13,Club Social y Deportivo Delfin,,"x43,45",
"12 García, Joaquín",13,Nadadores DE Young,,"44,26",
"13 Malsenido, Maximiliano",12,Club Social y Deportivo Delfin,,"x44,40",
"14 Alvarino, Ignacio",12,Club Nacional Nueva Helvecia,,"45,10",
"15 Rodriguez, Sergio",13,Club Social y Deportivo Delfin,,"x46,54",
"16 Vera, Sebastian",12,Club Nacional Nueva Helvecia,,"47,45",
"17 Sonderegger, Ian",12,Club Atletico Esparta,,"48,00",
"18 Rodriguez, Joaquin",12,Club Nacional Nueva Helvecia,,"x48,01",
"19 Gardiol, Antonio",12,Club Atletico Esparta,,"48,25",
"20 Soba, Agustin",12,Club Atletico Esparta,,"x49,23",
"21 Pereira, Anthony",12,Centro Sportivo Laureles,,"x49,88",
"22 Chaquiriand, Mauro",13,Club Nacional Nueva Helvecia,,"x50,25",
"23 Yohnatan, Casals",13,Club Atletico Esparta,,"x55,07",
"24 Centena, Sebastian",12,Centro Sportivo Laureles,,"x55,54",
"--- Brun, Elias",12,Centro Sportivo Laureles,,DQ,
"--- Torres, Luciano",13,Club Atletico Esparta,,DQ,
"--- Crevoisier, Bruno",12,Nadadores DE Young,,DQ,
,,,,,
Evento 40  Niños 13 Años de Edad 50 CC Metro Estilo de Mariposa,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,
"1 Menini, Benjamin",13,Centro Sportivo Laureles,,"34,21",
"2 Ferres, Justino",13,Club Social y Deportivo Delfin,,"37,47",
"3 Lagos, Mateo",13,Centro Sportivo Laureles,,"38,30",
"4 Faber, Joaquin",13,Centro Sportivo Laureles,,"x38,50",
"5 Grassi, Jeronimo",13,Carrasco Lawn Tennis Club,,"38,54",
"6 Quiroz, Max",13,Piscinas Barriales DE Salto,,"41,69",
"7 Castillo, Mauricio",13,Club Social y Deportivo Delfin,,"x43,45",
"8 García, Joaquín",13,Nadadores DE Young,,"44,26",
"9 Rodriguez, Sergio",13,Club Social y Deportivo Delfin,,"x46,54",
"10 Chaquiriand, Mauro",13,Club Nacional Nueva Helvecia,,"x50,25",
