"10 Salaberry, Ana Clara",13,Club Nacional Nueva Helvecia,Unnamed: 0,"1:34,77",2
"11 Rodriguez, Candelaria",13,Carrasco Lawn Tennis Club,,"x1:35,73",
"12 Stemphet, Nahiara",13,Club Atletico Esparta,,"1:35,81",1.0
"13 Cerrudo, Sol",13,Club Nacional Nueva Helvecia,,"1:37,18",
"14 DE Souza, Guadalupe",12,Centro Sportivo Laureles,,"1:37,72",
"15 Rimoldi, Josefina",13,Club Social y Deportivo Delfin,,"x1:38,21",
"16 Bianchini, Anabela",12,Nadadores DE Young,,"1:38,30",
"17 Taramasco, Barbara",13,Club Social y Deportivo Delfin,,"x1:39,48",
"18 Gerfauo, Aitana",12,Club Social y Deportivo Delfin,,"x1:41,94",
"19 Vieito, Luzmila",12,Club Nacional Nueva Helvecia,,"x1:42,09",
"20 Vespa, Olivia",13,Club Nacional Nueva Helvecia,,"x1:42,26",
"21 Monterroso, Ines",12,Carrasco Lawn Tennis Club,,"x1:42,30",
"22 Ingold, Luisina",12,Club Nacional Nueva Helvecia,,"x1:42,64",
"23 Timote, Priscila",13,Centro Sportivo Laureles,,"x1:44,74",
"24 Piriz, Ines",12,Club Nacional Nueva Helvecia,,"x1:46,16",
"25 Gonzalez, Emilia",12,Nadadores DE Young,,"x1:58,27",
"26 Acosta, Stefania",13,Piscinas Barriales DE Salto,,"2:03,73",
,,,,,
Evento 21  Niñas 13 Años de Edad 100 CC Metro CI,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,
"1 Novak, Elena",13,Carrasco Lawn Tennis Club,,"1:29,35",
"2 Ithurralde, Josefina",13,Carrasco Lawn Tennis Club,,"1:30,62",
"3 Suarez, Emilia",13,Nadadores DE Young,,"1:32,19",
"4 Demasi, Giulia",13,Club Social y Deportivo Delfin,,"x1:33,58",
"5 Salaberry, Ana Clara",13,Club Nacional Nueva Helvecia,,"1:34,77",
"6 Rodriguez, Candelaria",13,Carrasco Lawn Tennis Club,,"x1:35,73",
"7 Stemphet, Nahiara",13,Club Atletico Esparta,,"1:35,81",
"8 Cerrudo, Sol",13,Club Nacional Nueva Helvecia,,"1:37,18",
"9 Rimoldi, Josefina",13,Club Social y Deportivo Delfin,,"x1:38,21",
"10 Taramasco, Barbara",13,Club Social y Deportivo Delfin,,"x1:39,48",
"11 Vespa, Olivia",13,Club Nacional Nueva Helvecia,,"x1:42,26",
"12 Timote, Priscila",13,Centro Sportivo Laureles,,"x1:44,74",
"13 Acosta, Stefania",13,Piscinas Barriales DE Salto,,"2:03,73",
,,,,,
Evento 22  Niños 12 Años de Edad 100 CC Metro CI,,,,,
Nombre,Edad,Equipo,,Tiempo de Finales,
"1 Centurion, Maximo",12,Nadadores DE Young,,"1:22,10",
"2 Beron, Joaquin",12,Club Social y Deportivo Delfin,,"1:32,81",
"3 Alvarino, Ignacio",12,Club Nacional Nueva Helvecia,,"1:33,95",
"4 Castellanos, Benjamin",12,Club Social y Deportivo Delfin,,"x1:34,59",
"5 Fuentes, Geronimo",12,Club Atletico Esparta,,"1:35,22",
"6 Terra, Matias",12,Carrasco Lawn Tennis Club,,"1:37,41",
"7 Vera, Sebastian",12,Club Nacional Nueva Helvecia,,"1:38,60",
"8 Amarillo, Felipe",12,Club Social y Deportivo Delfin,,"x1:38,81",
"9 Mederos, Benjamin",12,Club Nacional Nueva Helvecia,,"x1:43,14",
"10 Centena, Sebastian",12,Centro Sportivo Laureles,,"x1:46,89",
"11 Soba, Agustin",12,Club Atletico Esparta,,"1:47,74",
"12 Besson, Bautista",12,Carrasco Lawn Tennis Club,,"x1:50,29",
"13 Brun, Elias",12,Centro Sportivo Laureles,,"x1:50,42",
"--- Daruech, Stefano",12,Club Atletico Esparta,,DQ,
"--- Paez, Tomas",12,Carrasco Lawn Tennis Club,,DQ,
"--- Carballo, Nicolas",12,Piscinas Barriales DE Salto,,DQ,
